MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,1,ROS,RGB,False,402,4,59,347,0.2756408227268111,0.9224137931034483,0.854679802955665,0.9901477832512315,0.9886039886039886,0.916776750330251,0.9224137931034483,0.8526878978587313
efficientnet,2,ROS,RGB,False,404,2,12,394,0.06489519065640537,0.9827586206896551,0.9704433497536946,0.9950738916256158,0.9949494949494949,0.9825436408977556,0.9827586206896552,0.9658102467821682
efficientnet,3,ROS,RGB,False,403,2,56,349,0.1837280147789437,0.928395061728395,0.8617283950617284,0.9950617283950617,0.9943019943019943,0.9232804232804233,0.928395061728395,0.8645091093211867
efficientnet,4,ROS,RGB,False,399,5,7,397,0.05352456755198465,0.9851485148514851,0.9826732673267327,0.9876237623762376,0.9875621890547264,0.9851116625310173,0.9851485148514851,0.9703089196508267
efficientnet,5,ROS,RGB,False,396,6,19,383,0.0792511151061018,0.9689054726368159,0.9527363184079602,0.9850746268656716,0.9845758354755784,0.9683944374209861,0.9689054726368159,0.9383016957062733
efficientnet,1,ROS,RGB,True,372,34,14,392,0.1091159451844657,0.9408866995073891,0.9655172413793104,0.916256157635468,0.92018779342723,0.9423076923076923,0.9408866995073892,0.882845229768571
efficientnet,2,ROS,RGB,True,385,21,3,403,0.03837437501975468,0.9704433497536946,0.9926108374384236,0.9482758620689655,0.9504716981132075,0.9710843373493976,0.9704433497536946,0.9418127636912658
efficientnet,3,ROS,RGB,True,387,18,11,394,0.07971055011874363,0.9641975308641975,0.9728395061728395,0.9555555555555556,0.9563106796116505,0.9645042839657283,0.9641975308641976,0.9285337648314482
efficientnet,4,ROS,RGB,True,369,35,0,404,0.05064217237257721,0.9566831683168316,1.0,0.9133663366336634,0.9202733485193622,0.9584816132858838,0.9566831683168318,0.9168133381658037
efficientnet,5,ROS,RGB,True,385,17,16,386,0.06881284761932951,0.958955223880597,0.9601990049751243,0.9577114427860697,0.9578163771712159,0.9590062111801242,0.958955223880597,0.9179132877735321
efficientnet,1,ROS,RGB,False,218,6,15,209,0.1506658090012414,0.953125,0.9330357142857143,0.9732142857142857,0.9720930232558139,0.9521640091116174,0.953125,0.9069823744965884
efficientnet,2,ROS,RGB,False,219,4,2,221,0.08974766667781924,0.9865470852017937,0.9910313901345291,0.9820627802690582,0.9822222222222222,0.9866071428571429,0.9865470852017937,0.9731333086479987
efficientnet,3,ROS,RGB,False,216,7,34,189,0.22846600199494127,0.9080717488789237,0.8475336322869955,0.968609865470852,0.9642857142857143,0.9021479713603818,0.9080717488789238,0.8221921916437787
efficientnet,4,ROS,RGB,False,210,12,18,204,0.16325654582800092,0.9324324324324325,0.918918918918919,0.9459459459459459,0.9444444444444444,0.9315068493150684,0.9324324324324325,0.8651809126974002
efficientnet,5,ROS,RGB,False,212,8,41,179,0.21182619685476475,0.8886363636363636,0.8136363636363636,0.9636363636363636,0.9572192513368984,0.8796068796068796,0.8886363636363637,0.7861674281775789
efficientnet,1,ROS,RGB,True,169,55,0,224,0.08773362370473999,0.8772321428571428,1.0,0.7544642857142857,0.8028673835125448,0.8906560636182903,0.8772321428571428,0.7782896421160246
efficientnet,2,ROS,RGB,True,172,51,0,223,0.09118152570163188,0.8856502242152466,1.0,0.7713004484304933,0.8138686131386861,0.89738430583501,0.8856502242152466,0.7922986976370543
efficientnet,3,ROS,RGB,True,148,75,8,215,0.13579610918936708,0.8139013452914798,0.9641255605381166,0.6636771300448431,0.7413793103448276,0.8382066276803118,0.8139013452914798,0.6582134273953523
efficientnet,4,ROS,RGB,True,162,60,0,222,0.11200975317944277,0.8648648648648649,1.0,0.7297297297297297,0.7872340425531915,0.8809523809523809,0.8648648648648649,0.757936728959867
efficientnet,5,ROS,RGB,True,165,55,4,216,0.14725696634162555,0.8659090909090909,0.9818181818181818,0.75,0.7970479704797048,0.879837067209776,0.865909090909091,0.75231180781659
efficientnet,1,ROS,RGB,False,469,3,20,452,0.07047253916576757,0.975635593220339,0.9576271186440678,0.9936440677966102,0.9934065934065934,0.9751887810140237,0.975635593220339,0.9518887916854802
efficientnet,2,ROS,RGB,False,471,0,7,464,0.03682815371478677,0.9925690021231423,0.9851380042462845,1.0,1.0,0.9925133689839573,0.9925690021231423,0.9852468203811315
efficientnet,3,ROS,RGB,False,469,2,64,407,0.17987960643449408,0.9299363057324841,0.8641188959660298,0.9957537154989384,0.9951100244498777,0.925,0.9299363057324841,0.8674206656895446
efficientnet,4,ROS,RGB,False,466,3,14,455,0.06362046707254737,0.9818763326226012,0.9701492537313433,0.9936034115138592,0.9934497816593887,0.9816612729234089,0.9818763326226012,0.9640178536340404
efficientnet,5,ROS,RGB,False,466,3,39,430,0.09277161301326142,0.9552238805970149,0.9168443496801706,0.9936034115138592,0.9930715935334873,0.9534368070953437,0.9552238805970149,0.9131418300230354
efficientnet,1,ROS,RGB,True,453,19,9,463,0.052892969005693825,0.9703389830508474,0.9809322033898306,0.9597457627118644,0.9605809128630706,0.9706498951781971,0.9703389830508475,0.9408891560351853
efficientnet,2,ROS,RGB,True,447,24,7,464,0.05226184783657645,0.9670912951167728,0.9851380042462845,0.9490445859872612,0.9508196721311475,0.9676746611053181,0.9670912951167728,0.9347916815158869
efficientnet,3,ROS,RGB,True,454,17,21,450,0.102920633829703,0.9596602972399151,0.9554140127388535,0.9639065817409767,0.9635974304068522,0.9594882729211087,0.9596602972399151,0.9193537486876129
efficientnet,4,ROS,RGB,True,448,21,0,469,0.028215579680605993,0.9776119402985074,1.0,0.9552238805970149,0.9571428571428572,0.9781021897810219,0.9776119402985075,0.9561828874675149
efficientnet,5,ROS,RGB,True,461,8,24,445,0.11537248051878232,0.9658848614072495,0.9488272921108742,0.9829424307036247,0.9823399558498896,0.96529284164859,0.9658848614072495,0.9323124132514207
