MODEL,CLASS,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,1_Normal,1,ROS,RGB,False,400,6,48,358,0.20772669049612993,0.9334975369458128,0.8817733990147784,0.9852216748768473,0.9835164835164835,0.9298701298701298,0.9334975369458128,0.8716717369253602
efficientnet,1_Normal,2,ROS,RGB,False,404,2,12,394,0.07158769684582214,0.9827586206896551,0.9704433497536946,0.9950738916256158,0.9949494949494949,0.9825436408977556,0.9827586206896552,0.9658102467821682
efficientnet,1_Normal,3,ROS,RGB,False,403,2,45,360,0.1521090721320591,0.9419753086419753,0.8888888888888888,0.9950617283950617,0.994475138121547,0.9387222946544981,0.9419753086419753,0.8889753819293317
efficientnet,1_Normal,4,ROS,RGB,False,399,5,11,393,0.0553147713515428,0.9801980198019802,0.9727722772277227,0.9876237623762376,0.9874371859296482,0.9800498753117207,0.9801980198019802,0.960501972778166
efficientnet,1_Normal,5,ROS,RGB,False,399,3,14,388,0.0769867341020214,0.9788557213930348,0.9651741293532339,0.9925373134328358,0.9923273657289002,0.978562421185372,0.9788557213930349,0.9580701845259619
efficientnet,1_Normal,1,ROS,RGB,True,384,22,35,371,0.1482806830607318,0.9298029556650247,0.9137931034482759,0.9458128078817734,0.9440203562340967,0.9286608260325406,0.9298029556650247,0.8600469108749174
efficientnet,1_Normal,2,ROS,RGB,True,383,23,4,402,0.03324707567673452,0.9667487684729064,0.9901477832512315,0.9433497536945813,0.9458823529411765,0.9675090252707581,0.9667487684729064,0.9345214247718739
efficientnet,1_Normal,3,ROS,RGB,True,392,13,13,392,0.11932846201974669,0.9679012345679012,0.9679012345679012,0.9679012345679012,0.9679012345679012,0.9679012345679012,0.9679012345679012,0.9358024691358025
efficientnet,1_Normal,4,ROS,RGB,True,375,29,5,399,0.0634817616174938,0.9579207920792079,0.9876237623762376,0.9282178217821783,0.9322429906542056,0.9591346153846154,0.9579207920792079,0.9174619066867833
efficientnet,1_Normal,5,ROS,RGB,True,379,23,14,388,0.07054879295347787,0.9539800995024875,0.9651741293532339,0.9427860696517413,0.9440389294403893,0.9544895448954489,0.9539800995024876,0.9081878308536439
efficientnet,2_Esclerose_Pura_Sem_Crescente,1,ROS,RGB,False,221,3,22,202,0.15306355378457479,0.9441964285714285,0.9017857142857143,0.9866071428571429,0.9853658536585366,0.9417249417249417,0.9441964285714286,0.891606054836427
efficientnet,2_Esclerose_Pura_Sem_Crescente,2,ROS,RGB,False,218,5,13,210,0.10900626154491184,0.9596412556053812,0.9417040358744395,0.9775784753363229,0.9767441860465116,0.958904109589041,0.9596412556053813,0.9198746297955105
efficientnet,2_Esclerose_Pura_Sem_Crescente,3,ROS,RGB,False,215,8,36,187,0.2280611415214068,0.9013452914798206,0.8385650224215246,0.9641255605381166,0.958974358974359,0.8947368421052632,0.9013452914798206,0.8090937838391132
efficientnet,2_Esclerose_Pura_Sem_Crescente,4,ROS,RGB,False,214,8,11,211,0.1541974504251738,0.9572072072072072,0.9504504504504504,0.963963963963964,0.9634703196347032,0.9569160997732427,0.9572072072072072,0.9144979187673042
efficientnet,2_Esclerose_Pura_Sem_Crescente,5,ROS,RGB,False,211,9,36,184,0.19897154840556058,0.8977272727272727,0.8363636363636363,0.9590909090909091,0.9533678756476683,0.8910411622276029,0.8977272727272727,0.8015136401148881
efficientnet,2_Esclerose_Pura_Sem_Crescente,1,ROS,RGB,True,175,49,0,224,0.09409243480435439,0.890625,1.0,0.78125,0.8205128205128205,0.9014084507042254,0.890625,0.8006407690254357
efficientnet,2_Esclerose_Pura_Sem_Crescente,2,ROS,RGB,True,171,52,0,223,0.08172774547084564,0.8834080717488789,1.0,0.7668161434977578,0.8109090909090909,0.8955823293172691,0.8834080717488789,0.7885544888073251
efficientnet,2_Esclerose_Pura_Sem_Crescente,3,ROS,RGB,True,140,83,3,220,0.143043699770364,0.8071748878923767,0.9865470852017937,0.6278026905829597,0.7260726072607261,0.8365019011406845,0.8071748878923767,0.658159620942696
efficientnet,2_Esclerose_Pura_Sem_Crescente,4,ROS,RGB,True,150,72,0,222,0.1116534923245241,0.8378378378378378,1.0,0.6756756756756757,0.7551020408163265,0.8604651162790697,0.8378378378378378,0.7142857142857143
efficientnet,2_Esclerose_Pura_Sem_Crescente,5,ROS,RGB,True,163,57,3,217,0.14023055867715314,0.8636363636363636,0.9863636363636363,0.740909090909091,0.791970802919708,0.8785425101214575,0.8636363636363636,0.7502234885264435
efficientnet,3_Hipercelularidade,1,ROS,RGB,False,467,5,22,450,0.07581509435075824,0.9713983050847458,0.9533898305084746,0.989406779661017,0.989010989010989,0.970873786407767,0.9713983050847458,0.9434087133631152
efficientnet,3_Hipercelularidade,2,ROS,RGB,False,466,5,13,458,0.03933548933634586,0.9808917197452229,0.9723991507430998,0.9893842887473461,0.9892008639308856,0.9807280513918629,0.9808917197452229,0.9619222043307423
