MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,1,ROS,RGB,False,172,0,79,93,0.5707268409950789,0.7703488372093024,0.5406976744186046,1.0,1.0,0.7018867924528301,0.7703488372093024,0.6087018385768623
efficientnet,2,ROS,RGB,False,169,1,49,121,0.19776706607902753,0.8529411764705882,0.711764705882353,0.9941176470588236,0.9918032786885246,0.8287671232876712,0.8529411764705883,0.735822534464594
efficientnet,3,ROS,RGB,False,167,2,117,52,0.5177006076073506,0.6479289940828402,0.3076923076923077,0.9881656804733728,0.9629629629629629,0.4663677130044843,0.6479289940828403,0.403751319259591
efficientnet,4,ROS,RGB,False,164,2,94,72,0.3913406661475997,0.710843373493976,0.43373493975903615,0.9879518072289156,0.972972972972973,0.6,0.7108433734939759,0.5066083308020579
efficientnet,5,ROS,RGB,False,164,2,45,121,0.3055527414902147,0.858433734939759,0.7289156626506024,0.9879518072289156,0.983739837398374,0.8373702422145328,0.858433734939759,0.7422005342346798
efficientnet,1,ROS,RGB,True,161,11,31,141,0.40520247990308805,0.877906976744186,0.8197674418604651,0.936046511627907,0.9276315789473685,0.8703703703703703,0.877906976744186,0.7609759719101263
efficientnet,2,ROS,RGB,True,157,13,0,170,0.16912427334224475,0.961764705882353,1.0,0.9235294117647059,0.9289617486338798,0.9631728045325779,0.961764705882353,0.9262415976772796
efficientnet,3,ROS,RGB,True,156,13,74,95,0.48740795766108136,0.742603550295858,0.5621301775147929,0.9230769230769231,0.8796296296296297,0.6859205776173285,0.742603550295858,0.520281108211702
efficientnet,4,ROS,RGB,True,162,4,0,166,0.16080218248338585,0.9879518072289157,1.0,0.9759036144578314,0.9764705882352941,0.9880952380952381,0.9879518072289157,0.9761870601839527
efficientnet,5,ROS,RGB,True,155,11,0,166,0.18103287719100356,0.9668674698795181,1.0,0.9337349397590361,0.9378531073446328,0.967930029154519,0.9668674698795181,0.9357917581862246
efficientnet,1,ROS,RGB,False,851,2,91,762,0.13160165575751107,0.9454865181711606,0.8933177022274326,0.9976553341148886,0.9973821989528796,0.9424860853432282,0.9454865181711606,0.8958627141234663
efficientnet,2,ROS,RGB,False,848,4,93,759,0.24069496609725302,0.943075117370892,0.8908450704225352,0.9953051643192489,0.9947575360419397,0.939938080495356,0.943075117370892,0.8910249620046194
efficientnet,3,ROS,RGB,False,851,0,129,722,0.31585561853619615,0.9242068155111633,0.8484136310223267,1.0,1.0,0.9179910998092816,0.9242068155111633,0.8583325077599886
efficientnet,4,ROS,RGB,False,847,3,218,632,0.2614027439846712,0.8699999999999999,0.7435294117647059,0.9964705882352941,0.9952755905511811,0.8511784511784511,0.87,0.7648723805996124
efficientnet,5,ROS,RGB,False,844,2,7,839,0.02782279599114513,0.9946808510638298,0.991725768321513,0.9976359338061466,0.9976218787158145,0.994665085951393,0.9946808510638299,0.9893789818102035
