MODEL,STAIN,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,AZAN,1,ROS,RGB,False,172,0,82,90,0.5794344440449116,0.7616279069767442,0.5232558139534884,1.0,1.0,0.6870229007633588,0.7616279069767442,0.5952568425994088
efficientnet,AZAN,2,ROS,RGB,False,168,2,6,164,0.1308093176168554,0.9764705882352941,0.9647058823529412,0.9882352941176471,0.9879518072289156,0.9761904761904762,0.9764705882352942,0.9532050759983475
efficientnet,AZAN,3,ROS,RGB,False,169,0,122,47,0.5214093151177175,0.6390532544378698,0.2781065088757396,1.0,1.0,0.4351851851851852,0.6390532544378698,0.4018855900519561
efficientnet,AZAN,4,ROS,RGB,False,163,3,41,125,0.24035620007170252,0.8674698795180723,0.7530120481927711,0.9819277108433735,0.9765625,0.8503401360544217,0.8674698795180723,0.7549875015197142
efficientnet,AZAN,5,ROS,RGB,False,165,1,45,121,0.28882692467017346,0.8614457831325302,0.7289156626506024,0.9939759036144579,0.9918032786885246,0.8402777777777778,0.8614457831325302,0.7497072027996946
efficientnet,AZAN,1,ROS,RGB,True,164,8,57,115,0.4628066309662752,0.811046511627907,0.6686046511627907,0.9534883720930233,0.9349593495934959,0.7796610169491526,0.811046511627907,0.6489856366823124
efficientnet,AZAN,2,ROS,RGB,True,157,13,0,170,0.1046670195810935,0.961764705882353,1.0,0.9235294117647059,0.9289617486338798,0.9631728045325779,0.961764705882353,0.9262415976772796
efficientnet,AZAN,3,ROS,RGB,True,157,12,71,98,0.48823146954090635,0.7544378698224852,0.5798816568047337,0.9289940828402367,0.8909090909090909,0.7025089605734767,0.7544378698224852,0.5430435818039258
efficientnet,AZAN,4,ROS,RGB,True,160,6,0,166,0.13614190145429358,0.9819277108433735,1.0,0.963855421686747,0.9651162790697675,0.9822485207100592,0.9819277108433735,0.9644856443408243
efficientnet,AZAN,5,ROS,RGB,True,154,12,35,131,0.23472310301948743,0.858433734939759,0.7891566265060241,0.927710843373494,0.916083916083916,0.8478964401294499,0.858433734939759,0.7238491030301302
efficientnet,HE,1,ROS,RGB,False,850,3,56,797,0.11477879933567427,0.9654161781946072,0.9343493552168816,0.9964830011723329,0.99625,0.9643073200241984,0.9654161781946072,0.9326343566838551
efficientnet,HE,2,ROS,RGB,False,849,3,76,776,0.177071232978307,0.9536384976525821,0.9107981220657277,0.9964788732394366,0.9961489088575096,0.9515634580012262,0.9536384976525822,0.9106256910995303
efficientnet,HE,3,ROS,RGB,False,851,0,135,716,0.2785334429505569,0.9206815511163337,0.8413631022326674,1.0,1.0,0.9138481174218251,0.9206815511163338,0.8521539348030998
efficientnet,HE,4,ROS,RGB,False,849,1,85,765,0.15589286743279765,0.9494117647058823,0.9,0.9988235294117647,0.9986945169712794,0.9467821782178217,0.9494117647058824,0.9032449365177072
efficientnet,HE,5,ROS,RGB,False,843,3,89,757,0.08933369144709256,0.9456264775413712,0.8947990543735225,0.9964539007092199,0.9960526315789474,0.9427148194271482,0.9456264775413712,0.895893928867835
