MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,1,ROS,RGB,False,381,25,54,352,0.2671171549358979,0.9027093596059114,0.8669950738916257,0.9384236453201971,0.9336870026525199,0.8991060025542784,0.9027093596059114,0.807481254520326
efficientnet,2,ROS,RGB,False,392,14,75,331,0.3701300465414677,0.8903940886699507,0.8152709359605911,0.9655172413793104,0.9594202898550724,0.881491344873502,0.8903940886699507,0.7897529819650776
efficientnet,3,ROS,RGB,False,386,19,101,304,0.35697883990259816,0.8518518518518519,0.7506172839506173,0.9530864197530864,0.9411764705882353,0.8351648351648352,0.8518518518518519,0.7185866064403298
efficientnet,4,ROS,RGB,False,371,33,58,346,0.3107494599748366,0.8873762376237624,0.8564356435643564,0.9183168316831684,0.9129287598944591,0.8837803320561941,0.8873762376237624,0.7762401217144606
efficientnet,5,ROS,RGB,False,389,13,42,360,0.1693251267891025,0.931592039800995,0.8955223880597015,0.9676616915422885,0.9651474530831099,0.9290322580645162,0.931592039800995,0.8654389233345444
efficientnet,1,ROS,RGB,True,328,78,31,375,0.19828528987950292,0.8657635467980296,0.9236453201970444,0.8078817733990148,0.8278145695364238,0.8731082654249127,0.8657635467980296,0.7364785864975701
efficientnet,2,ROS,RGB,True,315,91,27,379,0.21831132456880484,0.854679802955665,0.9334975369458128,0.7758620689655172,0.8063829787234043,0.865296803652968,0.854679802955665,0.7183407532988394
efficientnet,3,ROS,RGB,True,271,134,24,381,0.2048422207802902,0.8049382716049382,0.9407407407407408,0.6691358024691358,0.7398058252427184,0.8282608695652174,0.8049382716049382,0.6336979916677491
efficientnet,4,ROS,RGB,True,285,119,7,397,0.13021437454931806,0.844059405940594,0.9826732673267327,0.7054455445544554,0.7693798449612403,0.8630434782608696,0.844059405940594,0.716190439677256
efficientnet,5,ROS,RGB,True,295,107,5,397,0.12409092359874972,0.8606965174129353,0.9875621890547264,0.7338308457711443,0.7876984126984127,0.8763796909492274,0.8606965174129353,0.7457995248167776
efficientnet,1,ROS,RGB,False,170,54,14,210,0.4243316778114864,0.8482142857142857,0.9375,0.7589285714285714,0.7954545454545454,0.860655737704918,0.8482142857142857,0.707805158424612
efficientnet,2,ROS,RGB,False,192,31,24,199,0.32785828324711375,0.8766816143497758,0.8923766816143498,0.8609865470852018,0.8652173913043478,0.8785871964679912,0.8766816143497758,0.7537346628814318
efficientnet,3,ROS,RGB,False,178,45,32,191,0.4067953788913419,0.827354260089686,0.8565022421524664,0.7982062780269058,0.809322033898305,0.8322440087145969,0.8273542600896862,0.6558238508359255
efficientnet,4,ROS,RGB,False,189,33,27,195,0.3615899563909651,0.8648648648648649,0.8783783783783784,0.8513513513513513,0.8552631578947368,0.8666666666666667,0.8648648648648649,0.7299963950884314
efficientnet,5,ROS,RGB,False,185,35,30,190,0.3111186358061704,0.8522727272727272,0.8636363636363636,0.8409090909090909,0.8444444444444444,0.8539325842696629,0.8522727272727273,0.7047274841194893
efficientnet,1,ROS,RGB,True,110,114,5,219,0.19207271827118738,0.734375,0.9776785714285714,0.49107142857142855,0.6576576576576577,0.7863554757630161,0.734375,0.5365599614622939
efficientnet,2,ROS,RGB,True,76,147,2,221,0.19866318840349736,0.6659192825112108,0.9910313901345291,0.34080717488789236,0.6005434782608695,0.7478849407783418,0.6659192825112108,0.43677775230114424
efficientnet,3,ROS,RGB,True,83,140,6,217,0.23097533896364975,0.6726457399103138,0.9730941704035875,0.3721973094170404,0.6078431372549019,0.7482758620689656,0.672645739910314,0.43197798447406993
efficientnet,4,ROS,RGB,True,87,135,4,218,0.19039203750120626,0.6869369369369369,0.9819819819819819,0.3918918918918919,0.6175637393767706,0.7582608695652174,0.6869369369369369,0.46309494833220993
efficientnet,5,ROS,RGB,True,70,150,0,220,0.19390571876005694,0.6590909090909091,1.0,0.3181818181818182,0.5945945945945946,0.7457627118644068,0.6590909090909091,0.4349588362008401
efficientnet,1,ROS,RGB,False,457,15,99,373,0.5515138168456191,0.8792372881355932,0.7902542372881356,0.9682203389830508,0.961340206185567,0.8674418604651163,0.8792372881355932,0.7707788124681159
efficientnet,2,ROS,RGB,False,461,10,87,384,0.274162468288861,0.8970276008492569,0.8152866242038217,0.9787685774946921,0.9746192893401016,0.8878612716763006,0.8970276008492569,0.8048838475689302
efficientnet,3,ROS,RGB,False,450,21,105,366,0.3706218776809182,0.8662420382165605,0.7770700636942676,0.9554140127388535,0.9457364341085271,0.8531468531468531,0.8662420382165605,0.7444184374212957
efficientnet,4,ROS,RGB,False,452,17,43,426,0.2288129262642057,0.9360341151385927,0.908315565031983,0.9637526652452025,0.9616252821670429,0.9342105263157895,0.9360341151385927,0.8734113784380952
efficientnet,5,ROS,RGB,False,456,13,135,334,0.3759135221844035,0.8422174840085288,0.7121535181236673,0.9722814498933902,0.962536023054755,0.8186274509803921,0.8422174840085288,0.7088372867985478
efficientnet,1,ROS,RGB,True,379,93,18,454,0.15652869704921366,0.8824152542372882,0.961864406779661,0.8029661016949152,0.829981718464351,0.8910696761530913,0.8824152542372881,0.7746727605724566
efficientnet,2,ROS,RGB,True,381,90,14,457,0.13093112765034293,0.8895966029723992,0.970276008492569,0.8089171974522293,0.8354661791590493,0.8978388998035364,0.8895966029723992,0.7895394836292065
efficientnet,3,ROS,RGB,True,400,71,21,450,0.1630984790259359,0.9023354564755839,0.9554140127388535,0.8492569002123143,0.8637236084452975,0.907258064516129,0.9023354564755839,0.809243650277428
efficientnet,4,ROS,RGB,True,396,73,27,442,0.1875533724167962,0.8933901918976546,0.9424307036247335,0.8443496801705757,0.858252427184466,0.8983739837398373,0.8933901918976546,0.7905922776981046
efficientnet,5,ROS,RGB,True,372,97,11,458,0.10698627735347127,0.8848614072494669,0.976545842217484,0.7931769722814499,0.8252252252252252,0.89453125,0.8848614072494669,0.7829992090613077
efficientnet,1,ROS,RGB,False,58,0,48,10,0.6318872427118236,0.5862068965517241,0.1724137931034483,1.0,1.0,0.29411764705882354,0.5862068965517242,0.3071475584169756
efficientnet,2,ROS,RGB,False,58,0,37,21,0.6000912682763462,0.6810344827586207,0.3620689655172414,1.0,1.0,0.5316455696202531,0.6810344827586207,0.4701623459816273
