MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,1,ROS,RGB,False,172,0,172,0,1.6722395863643913,0.5,0.0,1.0,nan,0.0,0.5,nan
efficientnet,2,ROS,RGB,False,159,11,64,106,0.9553933886920705,0.7794117647058824,0.6235294117647059,0.9352941176470588,0.905982905982906,0.7386759581881533,0.7794117647058824,0.5881366491743458
efficientnet,3,ROS,RGB,False,164,5,112,57,1.0017961538754976,0.6538461538461539,0.33727810650887574,0.9704142011834319,0.9193548387096774,0.4935064935064935,0.6538461538461539,0.3975144844038931
efficientnet,4,ROS,RGB,False,159,7,65,101,0.6869845663208559,0.783132530120482,0.608433734939759,0.9578313253012049,0.9351851851851852,0.7372262773722628,0.7831325301204819,0.6043547873515267
efficientnet,5,ROS,RGB,False,162,4,150,16,1.1817612267402282,0.536144578313253,0.0963855421686747,0.9759036144578314,0.8,0.17204301075268819,0.536144578313253,0.15191090506254998
efficientnet,1,ROS,RGB,True,136,36,29,143,0.32588919096214825,0.811046511627907,0.8313953488372093,0.7906976744186046,0.7988826815642458,0.8148148148148148,0.811046511627907,0.6226088506742178
efficientnet,2,ROS,RGB,True,135,35,38,132,0.37404623206923987,0.7852941176470588,0.7764705882352941,0.7941176470588235,0.7904191616766467,0.7833827893175074,0.7852941176470588,0.5706771019697042
efficientnet,3,ROS,RGB,True,137,32,43,126,0.3210997340770868,0.7781065088757396,0.7455621301775148,0.8106508875739645,0.7974683544303798,0.7706422018348624,0.7781065088757397,0.5573949857891091
efficientnet,4,ROS,RGB,True,137,29,37,129,0.49493934429553615,0.8012048192771085,0.7771084337349398,0.8253012048192772,0.8164556962025317,0.7962962962962963,0.8012048192771084,0.6031104206885667
efficientnet,5,ROS,RGB,True,144,22,35,131,0.3966778330056064,0.8283132530120483,0.7891566265060241,0.8674698795180723,0.8562091503267973,0.8213166144200627,0.8283132530120483,0.6586493492006716
efficientnet,1,ROS,RGB,False,850,3,620,233,1.174950797560626,0.6348182883939039,0.2731535756154748,0.9964830011723329,0.9872881355932204,0.4279155188246097,0.6348182883939039,0.39049292273054115
efficientnet,2,ROS,RGB,False,844,8,354,498,0.9568661917263354,0.7875586854460094,0.5845070422535211,0.9906103286384976,0.9841897233201581,0.7334315169366715,0.7875586854460094,0.6293502551183178
efficientnet,3,ROS,RGB,False,844,7,519,332,1.5062148705492568,0.6909518213866039,0.3901292596944771,0.9917743830787309,0.9793510324483776,0.5579831932773109,0.6909518213866039,0.4781185392326053
efficientnet,4,ROS,RGB,False,835,15,305,545,0.8210622260149787,0.8117647058823528,0.6411764705882353,0.9823529411764705,0.9732142857142857,0.7730496453900709,0.8117647058823529,0.6633296809763305
efficientnet,5,ROS,RGB,False,839,7,389,457,0.6755692894013497,0.7659574468085106,0.5401891252955082,0.991725768321513,0.9849137931034483,0.6977099236641221,0.7659574468085106,0.5961483415295143
efficientnet,1,ROS,RGB,True,834,19,279,574,0.887028571449718,0.8253223915592027,0.6729191090269636,0.977725674091442,0.9679595278246206,0.7939142461964038,0.8253223915592027,0.6831531170890137
efficientnet,2,ROS,RGB,True,792,60,148,704,0.5319779636994214,0.8779342723004695,0.8262910798122066,0.9295774647887324,0.9214659685863874,0.8712871287128713,0.8779342723004695,0.7599329250491047
efficientnet,3,ROS,RGB,True,806,45,330,521,1.0994012907725244,0.7796709753231492,0.6122209165687427,0.9471210340775558,0.9204946996466431,0.7353563867325336,0.7796709753231492,0.5936214309010447
efficientnet,4,ROS,RGB,True,810,40,162,688,0.5603304133586148,0.8811764705882352,0.8094117647058824,0.9529411764705882,0.945054945054945,0.8719898605830165,0.8811764705882352,0.7703288865196433
efficientnet,5,ROS,RGB,True,794,52,97,749,0.20830816757946713,0.9119385342789598,0.8853427895981087,0.9385342789598109,0.9350811485642946,0.9095324833029751,0.9119385342789599,0.8250450595446545
