MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,0,ROS,RGB,False,671,1,9,83,0.03603078889494752,0.9869109947643979,0.9021739130434783,0.9985119047619048,0.9880952380952381,0.9431818181818182,0.9503429089026916,0.937039233910281
efficientnet,0,ROS,RGB,True,669,3,5,87,0.03714101094538005,0.9895287958115184,0.9456521739130435,0.9955357142857143,0.9666666666666667,0.9560439560439561,0.9705939440993789,0.9501751694275076
resnet18,0,ROS,RGB,False,672,0,8,84,0.03324910854707114,0.9895287958115184,0.9130434782608695,1.0,1.0,0.9545454545454546,0.9565217391304348,0.9498956733669913
resnet18,0,ROS,RGB,True,671,1,5,87,0.026466754425124445,0.9921465968586388,0.9456521739130435,0.9985119047619048,0.9886363636363636,0.9666666666666667,0.9720820393374741,0.9625234954518781
resnet50,0,ROS,RGB,False,670,2,7,85,0.05364098822355456,0.9882198952879582,0.9239130434782609,0.9970238095238095,0.9770114942528736,0.9497206703910615,0.9604684265010353,0.9435272379013269
resnet50,0,ROS,RGB,True,665,7,7,85,0.058895365720253966,0.9816753926701571,0.9239130434782609,0.9895833333333334,0.9239130434782609,0.9239130434782609,0.9567481884057971,0.9134963768115942
inception,0,ROS,RGB,False,670,2,6,86,0.03357168633248675,0.9895287958115184,0.9347826086956522,0.9970238095238095,0.9772727272727273,0.9555555555555556,0.9659032091097308,0.9499255383744226
inception,0,ROS,RGB,True,670,2,2,90,0.0177611227547116,0.9947643979057592,0.9782608695652174,0.9970238095238095,0.9782608695652174,0.9782608695652174,0.9876423395445135,0.9752846790890269
vgg,0,ROS,RGB,False,671,1,4,88,0.028229493350241178,0.993455497382199,0.9565217391304348,0.9985119047619048,0.9887640449438202,0.9723756906077348,0.9775168219461698,0.9688361420601279
vgg,0,ROS,RGB,True,670,2,3,89,0.021792051831436565,0.993455497382199,0.967391304347826,0.9970238095238095,0.978021978021978,0.9726775956284153,0.9822075569358177,0.9689789213649151
efficientnet_b4,0,ROS,RGB,False,652,20,5,87,0.07372773743931847,0.9672774869109948,0.9456521739130435,0.9702380952380952,0.8130841121495327,0.8743718592964824,0.9579451345755694,0.8589095300086111
efficientnet_b4,0,ROS,RGB,True,503,169,1,91,0.4553363340960435,0.7774869109947644,0.9891304347826086,0.7485119047619048,0.35,0.5170454545454546,0.8688211697722568,0.5066667965932392
