MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,0,ROS,RGB,False,366,4,9,83,0.07272499432843743,0.9718614718614719,0.9021739130434783,0.9891891891891892,0.9540229885057471,0.9273743016759777,0.9456815511163337,0.9104878781083134
efficientnet,0,ROS,RGB,True,353,17,5,87,0.15252920911038592,0.9523809523809523,0.9456521739130435,0.9540540540540541,0.8365384615384616,0.8877551020408163,0.9498531139835488,0.8602750341253005
resnet18,0,ROS,RGB,False,362,8,8,84,0.09062392350882936,0.9653679653679653,0.9130434782608695,0.9783783783783784,0.9130434782608695,0.9130434782608695,0.9457109283196239,0.8914218566392479
resnet18,0,ROS,RGB,True,359,11,6,86,0.13308278976806573,0.9632034632034632,0.9347826086956522,0.9702702702702702,0.8865979381443299,0.91005291005291,0.9525264394829612,0.8874347496186601
resnet50,0,ROS,RGB,False,367,3,9,83,0.06830557424865373,0.974025974025974,0.9021739130434783,0.9918918918918919,0.9651162790697675,0.9325842696629213,0.9470329024676851,0.9173205282857211
resnet50,0,ROS,RGB,True,360,10,6,86,0.11240984131763508,0.9653679653679653,0.9347826086956522,0.972972972972973,0.8958333333333334,0.9148936170212766,0.9538777908343126,0.8934855732099962
inception,0,ROS,RGB,False,367,3,8,84,0.04953061333289007,0.9761904761904762,0.9130434782608695,0.9918918918918919,0.9655172413793104,0.9385474860335196,0.9524676850763807,0.9243513478758318
inception,0,ROS,RGB,True,361,9,5,87,0.08254330698803906,0.9696969696969697,0.9456521739130435,0.9756756756756757,0.90625,0.925531914893617,0.9606639247943596,0.9068444837220679
vgg,0,ROS,RGB,False,366,4,5,87,0.1223322143181324,0.9805194805194806,0.9456521739130435,0.9891891891891892,0.9560439560439561,0.9508196721311475,0.9674206815511164,0.9386961674845854
vgg,0,ROS,RGB,True,365,5,10,82,0.1880058271335735,0.9675324675324676,0.8913043478260869,0.9864864864864865,0.9425287356321839,0.9162011173184358,0.9388954171562867,0.8966244083407952
efficientnet_b4,0,ROS,RGB,False,337,33,13,79,0.245191739751147,0.9004329004329005,0.8586956521739131,0.9108108108108108,0.7053571428571429,0.7745098039215687,0.884753231492362,0.7170740627828227
efficientnet_b4,0,ROS,RGB,True,153,217,1,91,0.9017403721809387,0.5281385281385281,0.9891304347826086,0.4135135135135135,0.29545454545454547,0.455,0.7013219741480611,0.34109883264388685
