MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,0,ROS,RGB,False,779,3,5,87,0.023333727373065986,0.9908466819221968,0.9456521739130435,0.9961636828644501,0.9666666666666667,0.9560439560439561,0.9709079283887467,0.9510076320442874
efficientnet,0,ROS,RGB,True,777,5,7,85,0.046003738840193716,0.9862700228832952,0.9239130434782609,0.9936061381074168,0.9444444444444444,0.9340659340659341,0.9587595907928388,0.9264738302671774
resnet18,0,ROS,RGB,False,777,5,9,83,0.0488313025379944,0.9839816933638444,0.9021739130434783,0.9936061381074168,0.9431818181818182,0.9222222222222223,0.9478900255754475,0.9135789149542818
resnet18,0,ROS,RGB,True,774,8,5,87,0.05287206847139675,0.9851258581235698,0.9456521739130435,0.989769820971867,0.9157894736842105,0.93048128342246,0.9677109974424553,0.922304518097629
resnet50,0,ROS,RGB,False,777,5,9,83,0.03547666353803316,0.9839816933638444,0.9021739130434783,0.9936061381074168,0.9431818181818182,0.9222222222222223,0.9478900255754475,0.9135789149542818
resnet50,0,ROS,RGB,True,776,6,3,89,0.04424839200839844,0.9897025171624714,0.967391304347826,0.9923273657289002,0.9368421052631579,0.9518716577540107,0.9798593350383631,0.9462604796066584
inception,0,ROS,RGB,False,779,3,6,86,0.02412722120194715,0.9897025171624714,0.9347826086956522,0.9961636828644501,0.9662921348314607,0.9502762430939227,0.9654731457800512,0.9446960180018399
inception,0,ROS,RGB,True,778,4,3,89,0.022499263900368383,0.9919908466819222,0.967391304347826,0.9948849104859335,0.956989247311828,0.9621621621621622,0.9811381074168798,0.9577012410200567
vgg,0,ROS,RGB,False,781,1,6,86,0.04715269460902013,0.9919908466819222,0.9347826086956522,0.9987212276214834,0.9885057471264368,0.9608938547486033,0.9667519181585678,0.9568996699224044
vgg,0,ROS,RGB,True,777,5,6,86,0.09070415977106254,0.9874141876430206,0.9347826086956522,0.9936061381074168,0.945054945054945,0.9398907103825137,0.9641943734015346,0.9328795667639994
