MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,0,ROS,RGB,False,54,2,5,87,0.0926620112480344,0.9527027027027027,0.9456521739130435,0.9642857142857143,0.9775280898876404,0.9613259668508287,0.9549689440993789,0.9013192916006503
efficientnet,0,ROS,RGB,True,49,7,5,87,0.16556250746991183,0.918918918918919,0.9456521739130435,0.875,0.925531914893617,0.9354838709677419,0.9103260869565217,0.8267729226238563
resnet18,0,ROS,RGB,False,53,3,3,89,0.09952680766582489,0.9594594594594595,0.967391304347826,0.9464285714285714,0.967391304347826,0.967391304347826,0.9569099378881987,0.9138198757763976
resnet18,0,ROS,RGB,True,51,5,0,92,0.08314993567261342,0.9662162162162162,1.0,0.9107142857142857,0.9484536082474226,0.9735449735449735,0.9553571428571428,0.929392409248208
resnet50,0,ROS,RGB,False,54,2,3,89,0.07563522820537155,0.9662162162162162,0.967391304347826,0.9642857142857143,0.978021978021978,0.9726775956284153,0.9658385093167702,0.9285283884092799
resnet50,0,ROS,RGB,True,46,10,3,89,0.19296977991187894,0.9121621621621622,0.967391304347826,0.8214285714285714,0.898989898989899,0.9319371727748691,0.8944099378881987,0.8129243544206057
inception,0,ROS,RGB,False,54,2,0,92,0.0578664154619784,0.9864864864864865,1.0,0.9642857142857143,0.9787234042553191,0.989247311827957,0.9821428571428572,0.9714777387879181
inception,0,ROS,RGB,True,51,5,1,91,0.08626390167990246,0.9594594594594595,0.9891304347826086,0.9107142857142857,0.9479166666666666,0.9680851063829787,0.9499223602484472,0.9141515748537618
vgg,0,ROS,RGB,False,54,2,2,90,0.12555425664460337,0.972972972972973,0.9782608695652174,0.9642857142857143,0.9782608695652174,0.9782608695652174,0.9712732919254659,0.9425465838509317
vgg,0,ROS,RGB,True,53,3,2,90,0.07147242938092835,0.9662162162162162,0.9782608695652174,0.9464285714285714,0.967741935483871,0.972972972972973,0.9623447204968945,0.9280278437456688
efficientnet_b4,0,ROS,RGB,False,44,12,16,76,0.49061095875662725,0.8108108108108109,0.8260869565217391,0.7857142857142857,0.8636363636363636,0.8444444444444444,0.8059006211180124,0.604339972352751
efficientnet_b4,0,ROS,RGB,True,0,56,0,92,0.5939350961833387,0.6216216216216217,1.0,0.0,0.6216216216216216,0.7666666666666667,0.5,nan
