MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,0,ROS,RGB,False,272,2,2,90,0.026086804024427316,0.9890710382513661,0.9782608695652174,0.9927007299270073,0.9782608695652174,0.9782608695652174,0.9854807997461124,0.9709615994922247
efficientnet,0,ROS,RGB,True,270,4,2,90,0.06450828594598369,0.9836065573770492,0.9782608695652174,0.9854014598540146,0.9574468085106383,0.967741935483871,0.9818311647096161,0.956854048098335
resnet18,0,ROS,RGB,False,272,2,3,89,0.05525546584245265,0.9863387978142076,0.967391304347826,0.9927007299270073,0.978021978021978,0.9726775956284153,0.9800460171374167,0.9635960663896563
resnet18,0,ROS,RGB,True,265,9,3,89,0.06616858487103969,0.9672131147540983,0.967391304347826,0.9671532846715328,0.9081632653061225,0.9368421052631579,0.9672722945096794,0.9155641678831982
resnet50,0,ROS,RGB,False,270,4,3,89,0.06698020978683168,0.9808743169398907,0.967391304347826,0.9854014598540146,0.956989247311828,0.9621621621621622,0.9763963821009203,0.9493904255371504
resnet50,0,ROS,RGB,True,262,12,2,90,0.09854864952017049,0.9617486338797814,0.9782608695652174,0.9562043795620438,0.8823529411764706,0.9278350515463918,0.9672326245636307,0.9041287954734569
inception,0,ROS,RGB,False,271,3,2,90,0.032269915960260916,0.9863387978142076,0.9782608695652174,0.9890510948905109,0.967741935483871,0.972972972972973,0.9836559822278641,0.9638577790114861
inception,0,ROS,RGB,True,272,2,5,87,0.04417837793872656,0.9808743169398907,0.9456521739130435,0.9927007299270073,0.9775280898876404,0.9613259668508287,0.9691764519200254,0.9488564399758433
vgg,0,ROS,RGB,False,270,4,2,90,0.11696427075418643,0.9836065573770492,0.9782608695652174,0.9854014598540146,0.9574468085106383,0.967741935483871,0.9818311647096161,0.956854048098335
vgg,0,ROS,RGB,True,269,5,2,90,0.15245779150142527,0.9808743169398907,0.9782608695652174,0.9817518248175182,0.9473684210526315,0.9625668449197861,0.9800063471913678,0.9499477595813703
efficientnet_b4,0,ROS,RGB,False,260,14,3,89,0.12553530972186333,0.953551912568306,0.967391304347826,0.948905109489051,0.8640776699029126,0.9128205128205128,0.9581482069184386,0.8839113190024295
efficientnet_b4,0,ROS,RGB,True,184,90,0,92,0.4483700383739556,0.7540983606557377,1.0,0.6715328467153284,0.5054945054945055,0.6715328467153284,0.8357664233576643,0.5826286675693898
