MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,0,ROS,RGB,False,374,10,5,87,0.0831123672331832,0.9684873949579832,0.9456521739130435,0.9739583333333334,0.8969072164948454,0.9206349206349206,0.9598052536231885,0.9014839075515229
efficientnet,0,ROS,RGB,True,371,13,5,87,0.14356491620801076,0.9621848739495797,0.9456521739130435,0.9661458333333334,0.87,0.90625,0.9558990036231885,0.8838208488170728
resnet18,0,ROS,RGB,False,376,8,8,84,0.10516866566290484,0.9663865546218487,0.9130434782608695,0.9791666666666666,0.9130434782608695,0.9130434782608695,0.9461050724637681,0.8922101449275363
resnet18,0,ROS,RGB,True,374,10,7,85,0.10911524372504038,0.9642857142857142,0.9239130434782609,0.9739583333333334,0.8947368421052632,0.9090909090909091,0.9489356884057971,0.8870525778085316
resnet50,0,ROS,RGB,False,381,3,10,82,0.0917624615273681,0.9726890756302521,0.8913043478260869,0.9921875,0.9647058823529412,0.9265536723163842,0.9417459239130435,0.9108864271553305
resnet50,0,ROS,RGB,True,372,12,8,84,0.1098449031094543,0.9579831932773109,0.9130434782608695,0.96875,0.875,0.8936170212765957,0.9408967391304348,0.8677587338953818
inception,0,ROS,RGB,False,379,5,10,82,0.08562690156762402,0.9684873949579832,0.8913043478260869,0.9869791666666666,0.9425287356321839,0.9162011173184358,0.9391417572463767,0.897345790687035
inception,0,ROS,RGB,True,377,7,7,85,0.11051601307670109,0.9705882352941176,0.9239130434782609,0.9817708333333334,0.9239130434782609,0.9239130434782609,0.9528419384057971,0.9056838768115942
vgg,0,ROS,RGB,False,379,5,6,86,0.13417427916747787,0.976890756302521,0.9347826086956522,0.9869791666666666,0.945054945054945,0.9398907103825137,0.9608808876811594,0.9256081273366767
vgg,0,ROS,RGB,True,373,11,5,87,0.1331272011933635,0.9663865546218487,0.9456521739130435,0.9713541666666666,0.8877551020408163,0.9157894736842105,0.958503170289855,0.8955151277078933
efficientnet_b4,0,ROS,RGB,False,355,29,11,81,0.19099427772169353,0.9159663865546218,0.8804347826086957,0.9244791666666666,0.7363636363636363,0.801980198019802,0.9024569746376812,0.754001299601763
efficientnet_b4,0,ROS,RGB,True,214,170,0,92,0.7688343159290922,0.6428571428571428,1.0,0.5572916666666666,0.3511450381679389,0.519774011299435,0.7786458333333333,0.442368854647726
