MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,0,ROS,RGB,False,145,8,1,91,0.1146057383746517,0.9632653061224491,0.9891304347826086,0.9477124183006536,0.9191919191919192,0.9528795811518325,0.9684214265416311,0.9245115727974441
efficientnet,0,ROS,RGB,True,142,11,1,91,0.15381063794603153,0.9510204081632654,0.9891304347826086,0.9281045751633987,0.8921568627450981,0.9381443298969072,0.9586175049730037,0.9010567562782132
resnet18,0,ROS,RGB,False,147,6,3,89,0.14191317166752962,0.9632653061224491,0.967391304347826,0.9607843137254902,0.9368421052631579,0.9518716577540107,0.9640878090366581,0.9224914567237315
resnet18,0,ROS,RGB,True,146,7,1,91,0.1120045888788846,0.9673469387755103,0.9891304347826086,0.954248366013072,0.9285714285714286,0.9578947368421052,0.9716894003978402,0.9325111569714812
resnet50,0,ROS,RGB,False,145,8,1,91,0.08347732833757693,0.9632653061224491,0.9891304347826086,0.9477124183006536,0.9191919191919192,0.9528795811518325,0.9684214265416311,0.9245115727974441
resnet50,0,ROS,RGB,True,141,12,0,92,0.12854136389737225,0.9510204081632654,1.0,0.9215686274509803,0.8846153846153846,0.9387755102040817,0.9607843137254901,0.9029029769704058
inception,0,ROS,RGB,False,148,5,0,92,0.061110664913620875,0.979591836734694,1.0,0.9673202614379085,0.9484536082474226,0.9735449735449735,0.9836601307189543,0.9578404837401814
inception,0,ROS,RGB,True,146,7,1,91,0.08162250892468254,0.9673469387755103,0.9891304347826086,0.954248366013072,0.9285714285714286,0.9578947368421052,0.9716894003978402,0.9325111569714812
vgg,0,ROS,RGB,False,144,9,2,90,0.21956262126403422,0.9551020408163267,0.9782608695652174,0.9411764705882353,0.9090909090909091,0.9424083769633508,0.9597186700767264,0.9073351615336712
vgg,0,ROS,RGB,True,143,10,2,90,0.1440435230655938,0.9510204081632654,0.9782608695652174,0.934640522875817,0.9,0.9375,0.9564506962205173,0.8994551183093665
