MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,0,ROS,RGB,False,123,2,5,87,0.0932148658940869,0.967741935483871,0.9456521739130435,0.984,0.9775280898876404,0.9613259668508287,0.9648260869565217,0.934048486847247
efficientnet,0,ROS,RGB,True,117,8,1,91,0.15237970705131232,0.9585253456221198,0.9891304347826086,0.936,0.9191919191919192,0.9528795811518325,0.9625652173913044,0.9178955994122205
resnet18,0,ROS,RGB,False,121,4,3,89,0.06737842345567342,0.967741935483871,0.967391304347826,0.968,0.956989247311828,0.9621621621621622,0.9676956521739131,0.9340926000709171
resnet18,0,ROS,RGB,True,120,5,2,90,0.0816292504904457,0.967741935483871,0.9782608695652174,0.96,0.9473684210526315,0.9625668449197861,0.9691304347826086,0.9346108242498006
resnet50,0,ROS,RGB,False,123,2,4,88,0.08163955285801866,0.9723502304147466,0.9565217391304348,0.984,0.9777777777777777,0.967032967032967,0.9702608695652174,0.9433973309785921
resnet50,0,ROS,RGB,True,110,15,2,90,0.15621878996422764,0.9216589861751152,0.9782608695652174,0.88,0.8571428571428571,0.9137055837563451,0.9291304347826087,0.848720264254673
inception,0,ROS,RGB,False,123,2,1,91,0.038988543545595514,0.9861751152073732,0.9891304347826086,0.984,0.978494623655914,0.9837837837837838,0.9865652173913043,0.9717793332149887
inception,0,ROS,RGB,True,119,6,2,90,0.10937647796171601,0.9631336405529954,0.9782608695652174,0.952,0.9375,0.9574468085106383,0.9651304347826086,0.9256043174582241
vgg,0,ROS,RGB,False,123,2,3,89,0.06389980395925382,0.9769585253456221,0.967391304347826,0.984,0.978021978021978,0.9726775956284153,0.9756956521739131,0.9528008351371902
vgg,0,ROS,RGB,True,121,4,1,91,0.03543590012431351,0.9769585253456221,0.9891304347826086,0.968,0.9578947368421052,0.9732620320855615,0.9785652173913043,0.9534069826244259
efficientnet_b4,0,ROS,RGB,False,109,16,4,88,0.3682408974192659,0.9078341013824884,0.9565217391304348,0.872,0.8461538461538461,0.8979591836734694,0.9142608695652175,0.8195905398625776
efficientnet_b4,0,ROS,RGB,True,0,125,0,92,0.8574315466433077,0.423963133640553,1.0,0.0,0.423963133640553,0.5954692556634305,0.5,nan
